request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,Safe to pay the full requested amount of 15656000.00 now while maintaining the required minimum balance.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,Safe to pay the full requested amount of 6670.00 now while maintaining the required minimum balance.
request_28,282.63,affordable_later,wait,none,2024-08-20,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-08-20.
request_29,12768.7,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Only 775.20 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_31,9975533.98,affordable_later,wait,none,2024-10-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-10-15.
request_32,23199.0,affordable_later,wait,none,2025-03-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-03-15.
request_33,51705.73,affordable_later,wait,none,2026-01-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-01-15.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,Safe to pay the full requested amount of 129400.00 now while maintaining the required minimum balance.
request_35,44529.72,affordable_later,wait,none,2026-01-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-01-15.
request_36,519.25,affordable_later,wait,none,2026-09-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-09-15.
request_37,0.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_38,243.62,affordable_later,wait,none,2025-10-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-10-15.
request_39,152074.64,affordable_later,wait,none,2026-04-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-04-15.
request_40,658.63,affordable_later,wait,none,2024-07-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-07-15.
request_41,8146817.04,affordable_later,wait,none,2026-01-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-01-15.
request_42,0.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_43,10027300.03,affordable_later,wait,none,2024-10-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-10-15.
request_44,46238.47,affordable_later,wait,none,2025-03-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-03-15.
request_45,6017680.27,affordable_later,wait,none,2026-08-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-08-15.
request_46,48020.38,affordable_with_plan,installments,2024-12-03:25714.00|2024-12-31:25714.00,2024-12-15,none,Only 48020.38 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_47,34252032.44,affordable_later,wait,none,2025-07-26,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-07-26.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,Safe to pay the full requested amount of 45700.00 now while maintaining the required minimum balance.
request_49,15878106.47,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Only 15878106.47 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_50,0.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,Safe to pay the full requested amount of 2191000.00 now while maintaining the required minimum balance.
request_52,23304.11,affordable_later,wait,none,2024-06-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-06-15.
request_53,792.55,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Only 792.55 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_54,7913.87,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
